college,code,name
CCS,BSCS,Bachelor of Science in Computer Science
CCS,BSIT,Bachelor of Science in Information Technology
CCS,BSIS,Bachelor of Science in Information Systems
CED,BEED,Bachelor of Elementary Education
CED,BSED,Bachelor of Secondary Education
CED,BPED,Bachelor of Physical Education
CBA,BSBA,Bachelor of Science in Business Administration
CBA,BSACCT,Bachelor of Science in Accountancy
CBA,BSHRM,Bachelor of Science in Hospitality Management
CENG,BSCE,Bachelor of Science in Civil Engineering
CENG,BSEE,Bachelor of Science in Electrical Engineering
CENG,BSME,Bachelor of Science in Mechanical Engineering
CAS,BSMATH,Bachelor of Science in Mathematics
CAS,ABCOMM,Bachelor of Arts in Communication
CAS,ABPSYCH,Bachelor of Arts in Psychology
CNAHS,BSN,Bachelor of Science in Nursing
CNAHS,BSMT,Bachelor of Science in Medical Technology
CNAHS,BSPT,Bachelor of Science in Physical Therapy
